time,open,high,low,close,Volume
1583402400,0.9527,0.95405,0.95222,0.95273,13084
1583409600,0.95274,0.9543,0.95102,0.95221,13308
1583416800,0.95222,0.95231,0.95041,0.95052,16803
1583424000,0.95051,0.95078,0.94709,0.94753,14022
1583431200,0.94746,0.9491,0.94704,0.94855,11725
1583438400,0.94856,0.94898,0.94465,0.94521,9165
1583445600,0.94482,0.94595,0.94482,0.9459,4418
1583452800,0.9459,0.94665,0.94397,0.94417,9378
1583460000,0.94412,0.94522,0.94374,0.94444,10213
1583467200,0.94443,0.94476,0.94406,0.9447,6034
1583474400,0.94469,0.94618,0.94365,0.94382,13233
1583481600,0.94383,0.94449,0.93875,0.93885,20144
1583488800,0.93884,0.93908,0.93471,0.93521,23737
1583496000,0.93523,0.9366,0.93376,0.9348,20090
1583503200,0.93482,0.93795,0.93182,0.93768,31156
1583510400,0.93769,0.93878,0.93487,0.93782,20383
1583517600,0.93781,0.93886,0.93646,0.93654,16325
1583524800,0.93654,0.93909,0.93649,0.93745,13309
1583701200,0.93228,0.93362,0.92691,0.92823,5619
1583708400,0.92829,0.93185,0.92668,0.93065,10717
1583715600,0.93064,0.93125,0.91821,0.92978,13045
1583722800,0.92978,0.93079,0.92313,0.92536,8732
1583730000,0.92536,0.92773,0.92349,0.92558,8856
1583737200,0.92558,0.92899,0.92016,0.92733,21955
1583744400,0.92733,0.93195,0.92635,0.92659,20816
1583751600,0.92658,0.93011,0.92443,0.92681,19972
1583758800,0.92682,0.93107,0.92122,0.92613,26112
1583766000,0.92609,0.93096,0.92469,0.92541,24864
1583773200,0.9254,0.92782,0.92356,0.92388,20037
1583780400,0.92388,0.92612,0.92288,0.92534,11504
1583787600,0.92522,0.92693,0.924,0.92583,3132
1583794800,0.92584,0.93109,0.9258,0.93076,12171
1583802000,0.93077,0.93269,0.92837,0.9298,10223
1583809200,0.92978,0.9354,0.92934,0.93464,9512
1583816400,0.93465,0.93743,0.93392,0.9357,14521
1583823600,0.93569,0.93578,0.92874,0.93218,25453
1583830800,0.93219,0.93609,0.93076,0.93404,20973
1583838000,0.93404,0.93412,0.93003,0.93063,24781
1583845200,0.93063,0.93378,0.92989,0.93234,26530
1583852400,0.93235,0.93701,0.92986,0.93637,30523
1583859600,0.93639,0.93981,0.93544,0.93849,26110
1583866800,0.93849,0.94112,0.93782,0.93991,14842
1583874000,0.93977,0.94002,0.93729,0.93739,4048
1583881200,0.93745,0.93844,0.93602,0.93674,7451
1583888400,0.93674,0.93798,0.9357,0.93652,10294
1583895600,0.93652,0.93706,0.93515,0.93525,8335
1583902800,0.93523,0.93525,0.93247,0.9328,12262
1583910000,0.93275,0.93675,0.93259,0.93657,27181
1583917200,0.93658,0.93775,0.935,0.93545,21328
1583924400,0.93543,0.93585,0.9326,0.9331,19527
1583931600,0.93309,0.93654,0.93285,0.93574,20109
