entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2022-10-31 23:00:00+10:00,SELL,Supply,mid,with,counter,1.00312,1.00172,1.00242,1.00512,0.99756,1.8,27.0,48,4.0,2022-10-25 23:00:00+10:00,WIN,0.99756,2022-11-01 17:00:00+10:00,48.6
2023-03-16 03:00:00+10:00,SELL,Supply,mid,with,counter,0.93336,0.93151,0.93243,0.93536,0.92717,1.8,29.3,3,0.2,2023-03-10 12:00:00+10:00,WIN,0.92717,2023-03-16 03:00:00+10:00,52.6
2023-04-25 23:00:00+10:00,SELL,Supply,mid,with,with,0.89282,0.89126,0.89204,0.89482,0.88704,1.8,27.8,15,1.2,2023-04-24 17:00:00+10:00,WIN,0.88704,2023-04-26 23:00:00+10:00,50.0
2023-05-30 17:00:00+10:00,SELL,Supply,bottom,with,counter,0.90828,0.9067,0.90828,0.91028,0.90468,1.8,20.0,420,35.0,2023-04-11 17:00:00+10:00,WIN,0.90468,2023-05-30 17:00:00+10:00,36.0
2023-08-11 03:00:00+10:00,SELL,Supply,bottom,with,counter,0.87714,0.87587,0.87714,0.87914,0.87354,1.8,20.0,5,0.4,2023-08-10 17:00:00+10:00,WIN,0.87354,2023-08-11 21:00:00+10:00,36.0
2024-04-05 03:00:00+10:00,BUY,Demand,bottom,with,with,0.90346,0.90268,0.90268,0.90068,0.90628,1.8,20.0,6,0.5,2024-04-04 15:00:00+10:00,LOSS,0.90068,2024-04-05 07:00:00+10:00,-20.0
2024-04-19 11:00:00+10:00,BUY,Demand,bottom,with,counter,0.90429,0.90292,0.90292,0.90092,0.90652,1.8,20.0,79,6.6,2024-04-10 21:00:00+10:00,WIN,0.90652,2024-04-19 11:00:00+10:00,36.0
2024-04-23 01:00:00+10:00,SELL,Supply,mid,with,counter,0.91309,0.91154,0.91232,0.91509,0.90732,1.8,27.7,13,1.1,2024-04-19 11:00:00+10:00,LOSS,0.91509,2024-04-24 21:00:00+10:00,-27.7
2024-05-03 21:00:00+10:00,BUY,Demand,bottom,with,counter,0.90265,0.901,0.901,0.899,0.9046,1.8,20.0,235,19.6,2024-04-08 07:00:00+10:00,WIN,0.9046,2024-05-03 21:00:00+10:00,36.0
2024-07-05 19:00:00+10:00,BUY,Demand,bottom,with,counter,0.89885,0.89793,0.89793,0.89593,0.90153,1.8,20.0,54,4.5,2024-07-01 07:00:00+10:00,LOSS,0.89593,2024-07-06 03:00:00+10:00,-20.0
2024-09-02 23:00:00+10:00,SELL,Supply,bottom,with,counter,0.85272,0.85165,0.85272,0.85472,0.84912,1.8,20.0,72,6.0,2024-08-23 23:00:00+10:00,WIN,0.84912,2024-09-03 23:00:00+10:00,36.0
2024-09-25 01:00:00+10:00,BUY,Demand,bottom,with,counter,0.84715,0.84489,0.84489,0.84289,0.84849,1.8,20.0,38,3.2,2024-09-19 21:00:00+10:00,LOSS,0.84289,2024-09-25 07:00:00+10:00,-20.0
