entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,zone_age_days,formed_time,result,exit_price,exit_time,pnl_pips
2024-03-08 01:00:00+10:00,SELL,Supply,mid,with,counter,1.07305,1.07212,1.07259,1.07455,1.06905,1.8,19.6,517,21.5,2024-02-07 07:00:00+10:00,LOSS,1.07455,2024-03-08 21:00:00+10:00,-19.6
2024-05-28 12:00:00+10:00,SELL,Supply,mid,with,with,1.08236,1.08166,1.08201,1.08386,1.07868,1.8,18.5,1,0.0,2024-05-28 10:00:00+10:00,LOSS,1.08386,2024-05-29 11:00:00+10:00,-18.5
2024-06-18 23:00:00+10:00,SELL,Supply,mid,with,counter,1.08464,1.08406,1.08435,1.08614,1.08113,1.8,17.9,283,11.8,2024-05-31 22:00:00+10:00,LOSS,1.08614,2024-06-19 12:00:00+10:00,-17.9
2024-07-20 06:00:00+10:00,SELL,Supply,mid,with,counter,1.11321,1.11224,1.11272,1.11471,1.10915,1.8,19.9,54,2.2,2024-07-17 08:00:00+10:00,WIN,1.10915,2024-07-24 07:00:00+10:00,35.7
2024-08-06 00:00:00+10:00,SELL,Supply,bottom,with,with,1.09288,1.09109,1.09288,1.09438,1.09018,1.8,15.0,9,0.4,2024-08-05 15:00:00+10:00,WIN,1.09018,2024-08-06 00:00:00+10:00,27.0
2024-09-17 09:00:00+10:00,SELL,Supply,bottom,counter,counter,1.09018,1.08939,1.09018,1.09168,1.08748,1.8,15.0,3,0.1,2024-09-17 06:00:00+10:00,LOSS,1.09168,2024-09-17 23:00:00+10:00,-15.0
2025-02-25 12:00:00+10:00,SELL,Supply,mid,with,with,1.10836,1.10776,1.10806,1.10986,1.10482,1.8,18.0,10,0.4,2025-02-25 00:00:00+10:00,LOSS,1.10986,2025-02-28 16:00:00+10:00,-18.0
2025-07-16 17:00:00+10:00,SELL,Supply,mid,with,counter,1.09781,1.09701,1.09741,1.09931,1.09399,1.8,19.0,1733,72.2,2025-04-03 06:00:00+10:00,WIN,1.09399,2025-07-17 12:00:00+10:00,34.2
2025-07-29 10:00:00+10:00,BUY,Demand,bottom,counter,with,1.09217,1.09151,1.09151,1.09001,1.09421,1.8,15.0,3,0.1,2025-07-29 07:00:00+10:00,LOSS,1.09001,2025-07-31 04:00:00+10:00,-15.0
2025-08-01 08:00:00+10:00,BUY,Demand,bottom,counter,counter,1.09123,1.09069,1.09069,1.08919,1.09339,1.8,15.0,1,0.0,2025-08-01 07:00:00+10:00,WIN,1.09339,2025-08-01 11:00:00+10:00,27.0
2025-08-05 08:00:00+10:00,BUY,Demand,bottom,with,with,1.09517,1.09459,1.09459,1.09309,1.09729,1.8,15.0,1,0.0,2025-08-05 07:00:00+10:00,WIN,1.09729,2025-08-05 22:00:00+10:00,27.0
2025-08-05 23:00:00+10:00,SELL,Supply,mid,with,counter,1.09774,1.097,1.09737,1.09924,1.094,1.8,18.7,317,13.2,2025-07-17 11:00:00+10:00,WIN,1.094,2025-08-08 01:00:00+10:00,33.7
2025-08-12 08:00:00+10:00,BUY,Demand,bottom,with,with,1.09712,1.0966,1.0966,1.0951,1.0993,1.8,15.0,1,0.0,2025-08-12 07:00:00+10:00,LOSS,1.0951,2025-08-12 22:00:00+10:00,-15.0
2025-08-19 08:00:00+10:00,BUY,Demand,bottom,counter,counter,1.09638,1.09591,1.09591,1.09441,1.09861,1.8,15.0,1,0.0,2025-08-19 07:00:00+10:00,LOSS,1.09441,2025-08-19 23:00:00+10:00,-15.0
2025-09-02 08:00:00+10:00,BUY,Demand,bottom,with,with,1.11056,1.10991,1.10991,1.10841,1.11261,1.8,15.0,1,0.0,2025-09-02 07:00:00+10:00,WIN,1.11261,2025-09-03 11:00:00+10:00,27.0
2025-09-16 08:00:00+10:00,BUY,Demand,bottom,with,with,1.11757,1.11695,1.11695,1.11545,1.11965,1.8,15.0,1,0.0,2025-09-16 07:00:00+10:00,LOSS,1.11545,2025-09-16 17:00:00+10:00,-15.0
2025-09-25 08:00:00+10:00,BUY,Demand,bottom,with,with,1.13257,1.13208,1.13208,1.13058,1.13478,1.8,15.0,1,0.0,2025-09-25 07:00:00+10:00,WIN,1.13478,2025-09-26 10:00:00+10:00,27.0
2025-09-26 08:00:00+10:00,BUY,Demand,bottom,with,with,1.13412,1.13343,1.13343,1.13193,1.13613,1.8,15.0,1,0.0,2025-09-26 07:00:00+10:00,LOSS,1.13193,2025-09-29 07:00:00+10:00,-15.0
2025-09-29 08:00:00+10:00,BUY,Demand,bottom,with,with,1.13438,1.1336,1.1336,1.1321,1.1363,1.8,15.0,1,0.0,2025-09-29 07:00:00+10:00,WIN,1.1363,2025-09-30 00:00:00+10:00,27.0
