label,pair,tf_hours,entry_mode,sl_buffer_pips,max_sl_pips,rr,bos_lookback,trades,wins,losses,win_rate_%,profit_factor,total_pips,exp_pips/trade,wt_trades,wt_wins,wt_wr_%,wt_pf,ct_trades,ct_wins,ct_wr_%,ct_pf,final_equity_$,net_return_%,max_dd_$,max_dd_%
GBPUSD_2H_origination_bottom_lb10_sl5_rr25,GBPUSD,2,bottom,5,30,2.5,10,33,15,18,45.5,2.08,97.5,3.0,20,11,55.0,3.06,13,4,30.8,1.11,12086.25,20.9,551.01,4.9
GBPUSD_2H_origination_top_lb10_sl5_rr30,GBPUSD,2,top,5,30,3.0,10,7,3,4,42.9,2.25,125.0,17.9,4,1,25.0,1.13,3,2,66.7,5.09,10496.69,5.0,202.92,2.0
GBPUSD_2H_origination_mid_lb10_sl5_rr30,GBPUSD,2,mid,5,30,3.0,10,37,17,20,45.9,2.55,693.7,18.7,16,6,37.5,1.8,21,11,52.4,3.24,13524.34,35.2,520.2,4.9
GBPUSD_2H_origination_bottom_lb10_sl5_rr30,GBPUSD,2,bottom,5,30,3.0,10,33,14,19,42.4,2.21,115.0,3.5,20,10,50.0,3.0,13,4,30.8,1.33,12496.54,25.0,684.04,5.9
GBPUSD_2H_origination_top_lb10_sl10_rr15,GBPUSD,2,top,10,30,1.5,10,3,1,2,33.3,0.73,-14.3,-4.8,2,0,0.0,0.0,1,1,100.0,999.0,9947.83,-0.5,100.48,1.0
GBPUSD_2H_origination_mid_lb10_sl10_rr15,GBPUSD,2,mid,10,30,1.5,10,25,19,6,76.0,5.28,587.1,23.5,12,10,83.3,10.38,13,9,69.2,3.41,12495.1,25.0,122.51,1.0
GBPUSD_2H_origination_bottom_lb10_sl10_rr15,GBPUSD,2,bottom,10,30,1.5,10,33,24,9,72.7,4.0,270.0,8.2,20,16,80.0,6.0,13,8,61.5,2.4,13058.75,30.6,351.43,3.0
GBPUSD_2H_origination_top_lb10_sl10_rr20,GBPUSD,2,top,10,30,2.0,10,3,1,2,33.3,0.98,-1.1,-0.4,2,0,0.0,0.0,1,1,100.0,999.0,9997.02,-0.0,100.98,1.0
GBPUSD_2H_origination_mid_lb10_sl10_rr20,GBPUSD,2,mid,10,30,2.0,10,25,18,7,72.0,5.66,754.7,30.2,12,9,75.0,7.49,13,9,69.2,4.54,13313.2,33.1,207.46,2.0
GBPUSD_2H_origination_bottom_lb10_sl10_rr20,GBPUSD,2,bottom,10,30,2.0,10,33,22,11,66.7,4.0,330.0,10.0,20,15,75.0,6.0,13,7,53.8,2.33,13841.75,38.4,365.38,3.0
