entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2021-06-10 23:00:00+10:00,SELL,Bear_BoS,mid,counter,with,1.4189,1.41511,1.417,1.4194,1.41222,2.0,23.9,13,2021-06-09 17:00:00+10:00,WIN,1.41222,2021-06-10 23:00:00+10:00,47.8
2021-07-29 23:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.39932,1.39541,1.39736,1.39982,1.39246,2.0,24.5,301,2021-06-23 21:00:00+10:00,WIN,1.39246,2021-07-30 23:00:00+10:00,49.0
2021-08-06 01:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.3946,1.39019,1.3924,1.38969,1.3978,2.0,27.0,1,2021-08-05 21:00:00+10:00,LOSS,1.38969,2021-08-06 21:00:00+10:00,-27.1
2022-01-12 22:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.36919,1.36427,1.36673,1.36969,1.36081,2.0,29.6,588,2021-11-04 03:00:00+10:00,LOSS,1.36969,2022-01-13 02:00:00+10:00,-29.6
2022-01-18 12:00:00+10:00,BUY,Bull_BoS,mid,with,counter,1.36449,1.36256,1.36352,1.36206,1.36646,2.0,14.7,43,2022-01-12 16:00:00+10:00,LOSS,1.36206,2022-01-18 20:00:00+10:00,-14.6
2022-03-25 23:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.32249,1.31864,1.32056,1.32299,1.31572,2.0,24.2,3,2022-03-25 13:00:00+10:00,WIN,1.31572,2022-03-28 09:00:00+10:00,48.4
2022-03-29 19:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.31098,1.30871,1.30985,1.31148,1.30658,2.0,16.3,1,2022-03-29 15:00:00+10:00,WIN,1.30658,2022-03-29 19:00:00+10:00,32.7
2022-08-15 17:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.20952,1.20631,1.20791,1.20581,1.21212,2.0,21.0,34,2022-08-10 03:00:00+10:00,LOSS,1.20581,2022-08-15 19:00:00+10:00,-21.0
2022-08-24 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.18278,1.17994,1.18136,1.18328,1.17752,2.0,19.2,2,2022-08-24 13:00:00+10:00,WIN,1.17752,2022-08-24 23:00:00+10:00,38.4
2022-09-07 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.14965,1.14513,1.14739,1.15015,1.14187,2.0,27.6,2,2022-09-07 15:00:00+10:00,WIN,1.14187,2022-09-07 23:00:00+10:00,55.2
2022-11-11 06:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.17324,1.17006,1.17165,1.17374,1.16747,2.0,20.9,508,2022-09-13 19:00:00+10:00,WIN,1.16747,2022-11-11 10:00:00+10:00,41.8
2023-02-02 22:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.23301,1.2284,1.2307,1.2279,1.23631,2.0,28.0,9,2023-02-01 00:00:00+10:00,LOSS,1.2279,2023-02-02 22:00:00+10:00,-28.0
2023-04-11 15:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.2434,1.23966,1.24153,1.2439,1.23679,2.0,23.7,9,2023-04-10 17:00:00+10:00,LOSS,1.2439,2023-04-11 17:00:00+10:00,-23.7
2023-08-04 23:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.27989,1.27648,1.27819,1.28039,1.27378,2.0,22.0,25,2023-08-02 17:00:00+10:00,WIN,1.27378,2023-08-07 11:00:00+10:00,44.1
2023-08-05 03:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.28051,1.27654,1.27853,1.28101,1.27356,2.0,24.8,27,2023-08-02 07:00:00+10:00,WIN,1.27356,2023-08-07 13:00:00+10:00,49.7
2023-11-11 02:00:00+10:00,SELL,Bear_BoS,mid,with,with,1.22272,1.22001,1.22136,1.22322,1.21766,2.0,18.5,1,2023-11-10 22:00:00+10:00,LOSS,1.22322,2023-11-13 10:00:00+10:00,-18.6
2024-02-06 00:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.25476,1.25052,1.25264,1.25002,1.25788,2.0,26.2,430,2023-12-14 00:00:00+10:00,WIN,1.25788,2024-02-07 00:00:00+10:00,52.4
2024-02-06 00:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.25476,1.25052,1.25264,1.25002,1.25788,2.0,26.2,430,2023-12-14 02:00:00+10:00,WIN,1.25788,2024-02-07 00:00:00+10:00,52.4
2024-07-12 23:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.29958,1.2954,1.29749,1.30008,1.29231,2.0,25.9,2989,2023-07-27 17:00:00+10:00,LOSS,1.30008,2024-07-17 17:00:00+10:00,-25.9
2024-08-14 03:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.28881,1.28563,1.28722,1.28931,1.28304,2.0,20.9,137,2024-07-29 09:00:00+10:00,WIN,1.28304,2024-08-14 15:00:00+10:00,41.8
2024-10-03 15:00:00+10:00,BUY,Bull_BoS,mid,with,counter,1.32162,1.31682,1.31922,1.31632,1.32502,2.0,29.0,120,2024-09-19 09:00:00+10:00,LOSS,1.31632,2024-10-03 17:00:00+10:00,-29.0
2024-10-22 21:00:00+10:00,BUY,Bull_BoS,mid,with,counter,1.29724,1.29468,1.29596,1.29418,1.29952,2.0,17.8,551,2024-08-19 19:00:00+10:00,LOSS,1.29418,2024-10-24 01:00:00+10:00,-17.8
2025-01-28 08:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.24606,1.24294,1.2445,1.24244,1.24862,2.0,20.6,7,2025-01-27 16:00:00+10:00,WIN,1.24862,2025-01-28 08:00:00+10:00,41.2
2025-02-27 02:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.27224,1.26862,1.27043,1.27274,1.26581,2.0,23.1,573,2024-12-18 20:00:00+10:00,WIN,1.26581,2025-02-27 12:00:00+10:00,46.2
2025-04-16 13:00:00+10:00,SELL,Bear_BoS,mid,with,counter,1.32786,1.32457,1.32622,1.32836,1.32192,2.0,21.5,1642,2024-10-03 01:00:00+10:00,LOSS,1.32836,2025-04-16 15:00:00+10:00,-21.4
2025-06-16 07:00:00+10:00,BUY,Bull_BoS,mid,counter,with,1.3563,1.3522,1.35425,1.3517,1.35935,2.0,25.5,4,2025-06-13 19:00:00+10:00,WIN,1.35935,2025-06-16 23:00:00+10:00,51.0
2025-09-02 17:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.34237,1.33925,1.34081,1.33875,1.34493,2.0,20.6,81,2025-08-22 13:00:00+10:00,LOSS,1.33875,2025-09-02 17:00:00+10:00,-20.6
2025-09-05 23:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.35499,1.35222,1.3536,1.35549,1.34984,2.0,18.8,39,2025-09-01 23:00:00+10:00,LOSS,1.35549,2025-09-05 23:00:00+10:00,-18.9
2026-01-26 22:00:00+10:00,BUY,Bull_BoS,mid,with,with,1.36763,1.36446,1.36604,1.36396,1.37021,2.0,20.8,2,2026-01-26 16:00:00+10:00,WIN,1.37021,2026-01-27 00:00:00+10:00,41.7
2026-05-05 01:00:00+10:00,BUY,Bull_BoS,mid,with,counter,1.35354,1.34987,1.3517,1.34937,1.35638,2.0,23.3,25,2026-04-30 21:00:00+10:00,WIN,1.35638,2026-05-05 23:00:00+10:00,46.7
2026-06-15 09:00:00+10:00,SELL,Bear_BoS,mid,counter,counter,1.34833,1.34337,1.34585,1.34883,1.33989,2.0,29.8,66,2026-06-05 19:00:00+10:00,WIN,1.33989,2026-06-16 11:00:00+10:00,59.6
2026-06-18 03:00:00+10:00,BUY,Bull_BoS,mid,counter,counter,1.33627,1.3325,1.33439,1.332,1.33916,2.0,23.9,48,2026-06-11 23:00:00+10:00,WIN,1.33916,2026-06-18 03:00:00+10:00,47.7
