entry_time,type,zone_type,entry_mode,trend_at_origin,trend_at_entry,zone_top,zone_bottom,entry_price,sl_price,tp_price,rr_applied,risk_pips,zone_age_bars,origin_time,result,exit_price,exit_time,pnl_pips
2022-01-17 22:00:00+10:00,BUY,Bull_BoS,top,with,with,1.36449,1.36256,1.36449,1.36156,1.37181,2.5,29.3,36,2022-01-12 16:00:00+10:00,LOSS,1.36156,2022-01-18 20:00:00+10:00,-29.3
2024-05-02 23:00:00+10:00,BUY,Bull_BoS,top,counter,counter,1.24825,1.24662,1.24825,1.24562,1.25482,2.5,26.3,10,2024-05-01 15:00:00+10:00,WIN,1.25482,2024-05-03 11:00:00+10:00,65.7
2024-07-08 19:00:00+10:00,BUY,Bull_BoS,top,with,with,1.28163,1.28019,1.28163,1.27919,1.28773,2.5,24.4,1,2024-07-08 15:00:00+10:00,LOSS,1.27919,2024-07-09 23:00:00+10:00,-24.4
